Order_ID,Sequence_Length,RMSE,MAE,R2
DG124275014YC6Q006-20251220-07845067,266,246.47332564175414,152.97153166729322,0.8922986113348892
DG124275014YC6Q006-20251220-27889179,261,463.748179531137,383.5625985850694,0.6959993145424581
DG124275014YC6Q006-20251220-38102158,266,343.2281938569616,252.1320780920465,0.7455309426184997
DG124275014YC6Q006-20251220-87111576,250,241.9055579868457,144.92141132725,0.8469742559401323
DG124275014YC6Q006-20251222-11143490,265,470.22269532793683,363.600502831132,0.7447864848959977
DG124275014YC6Q006-20251222-39748988,274,567.6831685226906,454.0508585668339,0.4982929095891795
DG124275014YC6Q006-20251222-48509018,268,273.3104283018207,198.5242488431086,0.886482838177005
DG124275014YC6Q006-20251222-49384160,260,369.15785132201097,288.8123236847356,0.7617375218347816
DG124275014YC6Q006-20251222-57678577,267,224.72558529510775,145.85011618644668,0.8697017816616207
DG124275014YC6Q006-20251222-64491126,272,291.2342876242416,217.30827858852248,0.8439706468900536
DG124275014YC6Q006-20251223-07109069,260,452.9398759621612,346.6186007145433,0.7221982708399584
DG124275014YC6Q006-20251223-73337094,267,304.9343010546379,233.6024285848549,0.7779683816635176
DG124275014YC6Q006-20251226-91285345,274,289.25168953144595,219.70654877474905,0.7986416548419434
DG124275014YC6Q006-20251226-97210920,266,420.12312628486603,311.0097472050047,0.7906106071059178
DG124275014YC6Q006-20251227-14309060,268,454.5584679462616,357.2258455923508,0.7307611378941162
DG124275014YC6Q006-20251227-17165212,266,647.2745898527019,544.0451713569079,0.5011640411849596
DG124275014YC6Q006-20251227-29479871,267,319.2997188296975,257.9895954182467,0.7707565990417337
DG124275014YC6Q006-20251227-34089591,260,388.19738256603347,313.00388246754807,0.7710055193542984
DG124275014YC6Q006-20251227-34181166,274,236.08383103488896,177.19115402868388,0.8776077649241466
DG124275014YC6Q006-20251227-91866215,276,403.4910645188164,300.3739171759511,0.6765285499999945
DG124275014YC6Q006-20251229-04566361,281,209.45501015034444,171.44085862438845,0.902353544314832
DG124275014YC6Q006-20251229-20040971,259,637.3355264598521,553.2407630647926,0.5775777804919141
DG124275014YC6Q006-20251229-20049760,265,384.0271213629687,301.2507989533019,0.7447424568662082
DG124275014YC6Q006-20251229-28273067,281,372.980790448804,312.01426901379,0.8078056256686776
DG124275014YC6Q006-20251229-65121100,265,476.5677880498281,361.7032468373821,0.725519488548868
DG124275014YC6Q006-20251229-92825033,266,361.775485679314,275.2522031588933,0.6842720280114056
DG124275014YC6Q006-20251230-23225211,260,332.0421072331273,256.25878185474767,0.7884553072944422
DG124275014YC6Q006-20251230-42802630,270,481.8320491262309,404.6608727370371,0.6418861231858162
DG124275014YC6Q006-20251230-47697312,267,320.6918944400787,248.19982441420868,0.8354121867779115
DG124275014YC6Q006-20251230-47903292,271,317.8170717005178,243.70198383925273,0.7690570430866401
DG124275014YC6Q006-20251230-59514017,269,466.6795117515364,383.6679993739543,0.627215790160655
DG124275014YC6Q006-20251230-61433661,263,209.73911725841526,119.55342067330086,0.8984274993854944
DG124275014YC6Q006-20251231-16651233,276,540.2448536869731,445.44285836690455,0.6598754942014871
DG124275014YC6Q006-20251231-31961201,259,304.7089485565906,218.49961960213565,0.8425465200890878
DG124275014YC6Q006-20251231-43756157,268,189.57311309251313,138.43553588677705,0.9085027834451862
DG124275014YC6Q006-20251231-88532732,274,253.3275803656201,184.30111552463507,0.8532547546539528
DG124275014YC6Q006-20251231-91867941,253,380.0107131234803,312.2220452025074,0.8058035605700699
DG124275014YC6Q006-20251231-93720275,259,418.6096292344863,327.8456114331564,0.6885861324084182
DG124275014YC6Q006-20260104-33537350,267,528.5001151886179,446.1981851437267,0.67573646385349
DG124275014YC6Q006-20260104-99672392,276,347.7301418486981,266.27537174037593,0.6607951923616698
DG124275014YC6Q006-20260105-43209081,264,733.7427330274993,594.7016955811434,0.5404868731112655
DG124275014YC6Q006-20260105-56796792,267,322.9859088181766,239.7809389847261,0.7932191195430868
DG124275014YC6Q006-20260105-61647643,261,384.5925539237336,298.6605515852491,0.7251961081660582
DG124275014YC6Q006-20260105-77864947,271,780.2630317541712,667.3515085198342,0.32481861963206105
