序号,站点,地址,经度,纬度
1,深圳市下村营业站,公明街道下村社区四排西治101,113.897,22.774
2,深圳市合水口营业站,光明街道合水口社区松柏路42号101,113.889,22.767
3,深圳市飞杨大厦营业站*,公开页写为福田区南园街道扬时代大厦裙楼1018，与光明区分类不一致,113.955,22.755
4,深圳光明新区铁甲科技园速运营业部*,公开页未列地址，按铁甲科技园片区近似放置,113.935,22.785
5,深圳市马山头营业站,公明街道合水口新村一巷27号102,113.884,22.766
6,深圳市茨田浦营业站,光明街道福前路一巷10号103,113.944,22.756
7,深圳光明长春花园营业站,公明镇长春路80号长春花园1栋124铺,113.899,22.781
8,美宜佳B750光明横岭新村店L,合水口横岭新村5巷11号,113.887,22.764
9,美宜佳5888光明公明星湖路店,公明街道红星村星湖路42号-8铺,113.913,22.795
10,美宜佳粤16009光明永春街店,公明街道马山头永春街4-5,113.886,22.771
11,下村第一工业区,下村第一工业区26号D栋一楼,113.896,22.776
12,万众百货木墩旧村,木墩旧村196号,113.946,22.757
13,元山东五巷驿站,上村元山东五巷一号,113.906,22.783
14,八零后数码王微喜,公明合水口泥围新村七巷十五号,113.886,22.766
15,下村社区四排24号便利店,下村社区四排24号,113.898,22.775
16,群方快递收发中心*,公开页未列地址，按光明区中部近似放置,113.91,22.77
17,宝艳商行,永春街23号,113.886,22.772
18,林林百货驿站,合水口泥围新村七巷12号,113.887,22.766
19,壹公里薯田埔社区体彩店,薯田埔社区福南路一号,113.879,22.751
20,茾莱雅苑壹站通便利店*,公开页未列完整地址，按光明区中南部近似放置,113.925,22.76
21,鸵鸟便利严选马田店,松白路5057号鑫湘大厦102,113.883,22.773
22,天曜菜鸟国内货运点,安宏基天曜广场A01,113.936,22.773
23,美宜佳翠红便利店,静宁路70号,113.939,22.747
